sc67b3p120

NE black even
2, 61, 140, 234, (388) {total: 823} {consumed: 8} glider(d-22)(ph0)(♗⬀⓪)
2, 67, 236, 74, (243) {total: 620} {consumed: 6} glider(d-10)(ph2)(♗⬀⓪)
2, 68, 164, 125, (764) {total: 1121} {consumed: 10} glider(d-4)(ph0)(♗⬀⓪)
2, 75, 137, 165, (118) {total: 495} {consumed: 5} glider(d-4)(ph2)(♗⬀⓪)
2, 75, 223, 198, (67) {total: 563} {consumed: 5} glider(d-2)(ph2)(♗⬀⓪)
2, 79, 122, 51, (321) {total: 573} {consumed: 6} glider(d-14)(ph2)(♗⬀⓪)
2, 87, 118, 173, (504) {total: 882} {consumed: 8} glider(d-14)(ph2)(♗⬀⓪)
2, 88, 204, 55, (533) {total: 880} {consumed: 8} glider(d-6)(ph0)(♗⬀⓪)
2, 91, 81, 46, (291) {total: 509} {consumed: 6} glider(d-20)(ph2)(♗⬀⓪)
2, 92, 148, 158, (361) {total: 759} {consumed: 7} glider(d-8)(ph0)(♗⬀⓪)
2, 93, 126, 85, (255) {total: 559} {consumed: 6} glider(d0)(ph2)(♗⬀⓪)
2, 93, 138, 69, (67) {total: 367} {consumed: 3} glider(d0)(ph0)(♗⬀⓪)
2, 96, 246, 233, (67) {total: 642} {consumed: 6} glider(d-10)(ph0)(♗⬀⓪)
2, 96, 240, 231, (67) {total: 634} {consumed: 6} glider(d-12)(ph0)(♗⬀⓪)
2, 100, 244, 160, (394) {total: 898} {consumed: 8} glider(d4)(ph0)(♗⬀⓪)
2, 108, 119, 213, (367) {total: 807} {consumed: 7} glider(d-10)(ph0)(♗⬀⓪)
2, 109, 142, 47, (330) {total: 628} {consumed: 6} glider(d-16)(ph2)(♗⬀⓪)
2, 111, 93, 45, (67) {total: 316} {consumed: 3} glider(d-4)(ph2)(♗⬀⓪)
2, 112, 116, 44, (295) {total: 567} {consumed: 5} glider(d6)(ph2)(♗⬀⓪)
2, 115, 53, 58, (608) {total: 834} {consumed: 8} glider(d-8)(ph0)(♗⬀⓪)
2, 116, 106, 41, (67) {total: 330} {consumed: 3} glider(d4)(ph2)(♗⬀⓪)
2, 120, 224, 222, (414) {total: 980} {consumed: 9} glider(d0)(ph0)(♗⬀⓪)
2, 121, 56, 50, (86) {total: 313} {consumed: 3} glider(d10)(ph0)(♗⬀⓪)
2, 121, 56, 91, (365) {total: 633} {consumed: 6} glider(d10)(ph0)(♗⬀⓪)
2, 126, 65, 64, (67) {total: 322} {consumed: 3} glider(d16)(ph2)(♗⬀⓪)
2, 219, 153, 244, (67) {total: 683} {consumed: 6} glider(d-2)(ph2)(♗⬀⓪)
2, 222, 39, 57, (69) {total: 387} {consumed: 3} glider(d4)(ph0)(♗⬀⓪)
2, 221, 214, 248, (297) {total: 980} {consumed: 9} glider(d4)(ph0)(♗⬀⓪)
2, 224, 233, 215, (204) {total: 876} {consumed: 8} glider(d-18)(ph2)(♗⬀⓪)
2, 228, 41, 232, (375) {total: 876} {consumed: 8} glider(d-14)(ph0)(♗⬀⓪)
2, 231, 120, 71, (713) {total: 1135} {consumed: 10} glider(d-22)(ph2)(♗⬀⓪)
2, 236, 169, 138, (106) {total: 649} {consumed: 6} glider(d6)(ph2)(♗⬀⓪)
2, 236, 173, 35, (211) {total: 655} {consumed: 6} glider(d20)(ph0)(♗⬀⓪)
2, 238, 221, 143, (67) {total: 669} {consumed: 6} glider(d-2)(ph0)(♗⬀⓪)
