sc35/67b3p46

NE black even
3, 40, 41, 38, (67) {total: 186} {consumed: 3} glider(d4)(ph1)(♗⬀①)
6, 41, 42, 39, (67) {total: 189} {consumed: 4} glider(d-10)(ph3)(♗⬀①)
2, 38, 41, 44, (76) {total: 199} {consumed: 4} glider(d6)(ph1)(♗⬀①)
5, 78, 55, (67) {total: 200} {consumed: 3} glider(d10)(ph1)(♗⬀①)
0, 41, 35, 57, (67) {total: 200} {consumed: 7} glider(d-26)(ph1)(♗⬀①)
3, 35, 57, 41, (67) {total: 200} {consumed: 7} glider(d-24)(ph3)(♗⬀①)
6, 54, 82, (67) {total: 203} {consumed: 5} glider(d-2)(ph3)(♗⬀①)
7, 64, 38, 38, (67) {total: 207} {consumed: 3} glider(d6)(ph3)(♗⬀①)
0, 49, 37, 55, (67) {total: 208} {consumed: 7} glider(d-24)(ph1)(♗⬀①)
5, 74, 41, (97) {total: 212} {consumed: 4} glider(d0)(ph1)(♗⬀①)
1, 54, 35, 57, (67) {total: 213} {consumed: 8} glider(d-34)(ph3)(♗⬀①)
0, 57, 37, 55, (67) {total: 216} {consumed: 7} glider(d-22)(ph1)(♗⬀①)
1, 62, 37, 55, (67) {total: 221} {consumed: 8} glider(d-32)(ph3)(♗⬀①)
5, 74, 41, 40, (67) {total: 222} {consumed: 3} glider(d0)(ph1)(♗⬀①)
5, 49, 60, 47, (67) {total: 223} {consumed: 3} glider(d2)(ph1)(♗⬀①)
5, 74, 41, 42, (67) {total: 224} {consumed: 4} glider(d0)(ph1)(♗⬀①)
0, 65, 36, 56, (67) {total: 224} {consumed: 7} glider(d-20)(ph1)(♗⬀①)
6, 41, 42, 79, (67) {total: 229} {consumed: 5} glider(d-10)(ph3)(♗⬀①)
1, 70, 36, 56, (67) {total: 229} {consumed: 8} glider(d-30)(ph3)(♗⬀①)
0, 73, 36, 56, (67) {total: 232} {consumed: 7} glider(d-18)(ph1)(♗⬀①)
5, 46, 44, 76, (67) {total: 233} {consumed: 4} glider(d-8)(ph1)(♗⬀①)
0, 35, 78, 55, (67) {total: 235} {consumed: 4} glider(d6)(ph3)(♗⬀①)
1, 78, 36, 56, (67) {total: 237} {consumed: 8} glider(d-28)(ph3)(♗⬀①)
6, 54, 61, 56, (67) {total: 238} {consumed: 6} glider(d-20)(ph3)(♗⬀①)
0, 36, 54, 82, (67) {total: 239} {consumed: 6} glider(d-6)(ph1)(♗⬀①)
6, 54, 82, 36, (67) {total: 239} {consumed: 6} glider(d-2)(ph3)(♗⬀①)
0, 81, 36, 56, (67) {total: 240} {consumed: 7} glider(d-16)(ph1)(♗⬀①)
0, 43, 78, 55, (67) {total: 243} {consumed: 4} glider(d8)(ph3)(♗⬀①)
1, 86, 36, 56, (67) {total: 245} {consumed: 8} glider(d-26)(ph3)(♗⬀①)
5, 107, 37, 36, (67) {total: 247} {consumed: 3} glider(d12)(ph1)(♗⬀①)
