sc67b6p120

NE black even
7, 169, (367) {total: 536} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
1, 80, 92, 117, (172) {total: 461} {consumed: 5} glider(d-18)(ph2)(♗⬀⓪)
1, 80, 252, 36, (67) {total: 435} {consumed: 4} glider(d-6)(ph2)(♗⬀⓪)
1, 80, 252, 114, (67) {total: 513} {consumed: 5} glider(d-6)(ph0)(♗⬀⓪)
1, 80, 252, 117, (170) {total: 619} {consumed: 6} glider(d-8)(ph2)(♗⬀⓪)
1, 81, 41, 76, (67) {total: 265} {consumed: 2} glider(d10)(ph2)(♗⬀⓪)
1, 81, 46, 144, (367) {total: 638} {consumed: 6} glider(d-6)(ph2)(♗⬀⓪)
1, 82, 252, 169, (367) {total: 870} {consumed: 8} glider(d-8)(ph2)(♗⬀⓪)
1, 83, 251, 169, (367) {total: 870} {consumed: 7} glider(d22)(ph2)(♗⬀⓪)
1, 88, 116, 85, (139) {total: 428} {consumed: 5} glider(d-20)(ph0)(♗⬀⓪)
1, 88, 254, 169, (367) {total: 878} {consumed: 8} glider(d-6)(ph2)(♗⬀⓪)
1, 89, 253, 169, (367) {total: 878} {consumed: 7} glider(d24)(ph2)(♗⬀⓪)
1, 92, 38, 40, (67) {total: 237} {consumed: 2} glider(d-6)(ph0)(♗⬀⓪)
1, 92, 36, 40, (67) {total: 235} {consumed: 2} glider(d-6)(ph2)(♗⬀⓪)
1, 92, 117, 38, (67) {total: 314} {consumed: 3} glider(d-8)(ph2)(♗⬀⓪)
1, 96, 92, 36, (67) {total: 291} {consumed: 4} glider(d-42)(ph2)(♗⬀⓪)
1, 96, 92, 38, (67) {total: 293} {consumed: 4} glider(d-42)(ph0)(♗⬀⓪)
1, 96, 94, 169, (367) {total: 726} {consumed: 9} glider(d-74)(ph2)(♗⬀⓪)
1, 96, 102, 169, (367) {total: 734} {consumed: 9} glider(d-72)(ph2)(♗⬀⓪)
1, 96, 92, 114, (67) {total: 369} {consumed: 5} glider(d-42)(ph0)(♗⬀⓪)
1, 96, 92, 117, (170) {total: 475} {consumed: 6} glider(d-44)(ph2)(♗⬀⓪)
1, 96, 99, 156, (367) {total: 718} {consumed: 8} glider(d-46)(ph2)(♗⬀⓪)
